;age;job;marital;education;default;balance;housing;loan;contact;day;month;campaign;pdays;previous;poutcome;y
0;58;management;married;tertiary;0;2143;1;0;unknown;5;may;1;-1;0;unknown;0
1;44;technician;single;secondary;0;29;1;0;unknown;5;may;1;-1;0;unknown;0
2;33;entrepreneur;married;secondary;0;2;1;1;unknown;5;may;1;-1;0;unknown;0
3;47;blue-collar;married;unknown;0;1506;1;0;unknown;5;may;1;-1;0;unknown;0
4;33;unknown;single;unknown;0;1;0;0;unknown;5;may;1;-1;0;unknown;0
5;35;management;married;tertiary;0;231;1;0;unknown;5;may;1;-1;0;unknown;0
6;28;management;single;tertiary;0;447;1;1;unknown;5;may;1;-1;0;unknown;0
7;42;entrepreneur;divorced;tertiary;1;2;1;0;unknown;5;may;1;-1;0;unknown;0
8;58;retired;married;primary;0;121;1;0;unknown;5;may;1;-1;0;unknown;0
9;43;technician;single;secondary;0;593;1;0;unknown;5;may;1;-1;0;unknown;0
10;41;admin.;divorced;secondary;0;270;1;0;unknown;5;may;1;-1;0;unknown;0
11;29;admin.;single;secondary;0;390;1;0;unknown;5;may;1;-1;0;unknown;0
12;53;technician;married;secondary;0;6;1;0;unknown;5;may;1;-1;0;unknown;0
13;58;technician;married;unknown;0;71;1;0;unknown;5;may;1;-1;0;unknown;0
14;57;services;married;secondary;0;162;1;0;unknown;5;may;1;-1;0;unknown;0
15;51;retired;married;primary;0;229;1;0;unknown;5;may;1;-1;0;unknown;0
16;45;admin.;single;unknown;0;13;1;0;unknown;5;may;1;-1;0;unknown;0
17;57;blue-collar;married;primary;0;52;1;0;unknown;5;may;1;-1;0;unknown;0
18;60;retired;married;primary;0;60;1;0;unknown;5;may;1;-1;0;unknown;0
19;33;services;married;secondary;0;0;1;0;unknown;5;may;1;-1;0;unknown;0
20;28;blue-collar;married;secondary;0;723;1;1;unknown;5;may;1;-1;0;unknown;0
21;56;management;married;tertiary;0;779;1;0;unknown;5;may;1;-1;0;unknown;0
22;32;blue-collar;single;primary;0;23;1;1;unknown;5;may;1;-1;0;unknown;0
23;25;services;married;secondary;0;50;1;0;unknown;5;may;1;-1;0;unknown;0
