;age;job;marital;education;default;balance;housing;loan;contact;day;month;campaign;pdays;previous;poutcome;y
0;58;4;1;2;0;2143;1;0;2;5;8;1;-1;0;3;0
1;44;9;2;1;0;29;1;0;2;5;8;1;-1;0;3;0
2;33;2;1;1;0;2;1;1;2;5;8;1;-1;0;3;0
3;47;1;1;3;0;1506;1;0;2;5;8;1;-1;0;3;0
4;33;11;2;3;0;1;0;0;2;5;8;1;-1;0;3;0
5;35;4;1;2;0;231;1;0;2;5;8;1;-1;0;3;0
6;28;4;2;2;0;447;1;1;2;5;8;1;-1;0;3;0
7;42;2;0;2;1;2;1;0;2;5;8;1;-1;0;3;0
8;58;5;1;0;0;121;1;0;2;5;8;1;-1;0;3;0
9;43;9;2;1;0;593;1;0;2;5;8;1;-1;0;3;0
10;41;0;0;1;0;270;1;0;2;5;8;1;-1;0;3;0
11;29;0;2;1;0;390;1;0;2;5;8;1;-1;0;3;0
12;53;9;1;1;0;6;1;0;2;5;8;1;-1;0;3;0
13;58;9;1;3;0;71;1;0;2;5;8;1;-1;0;3;0
14;57;7;1;1;0;162;1;0;2;5;8;1;-1;0;3;0
15;51;5;1;0;0;229;1;0;2;5;8;1;-1;0;3;0
16;45;0;2;3;0;13;1;0;2;5;8;1;-1;0;3;0
17;57;1;1;0;0;52;1;0;2;5;8;1;-1;0;3;0
18;60;5;1;0;0;60;1;0;2;5;8;1;-1;0;3;0
19;33;7;1;1;0;0;1;0;2;5;8;1;-1;0;3;0
20;28;1;1;1;0;723;1;1;2;5;8;1;-1;0;3;0
21;56;4;1;2;0;779;1;0;2;5;8;1;-1;0;3;0
22;32;1;2;0;0;23;1;1;2;5;8;1;-1;0;3;0
23;25;7;1;1;0;50;1;0;2;5;8;1;-1;0;3;0
24;40;5;1;0;0;0;1;1;2;5;8;1;-1;0;3;0
25;44;0;1;1;0;-372;1;0;2;5;8;1;-1;0;3;0
26;39;4;2;2;0;255;1;0;2;5;8;1;-1;0;3;0
27;52;2;1;1;0;113;1;1;2;5;8;1;-1;0;3;0
28;46;4;2;1;0;-246;1;0;2;5;8;2;-1;0;3;0
29;36;9;2;1;0;265;1;1;2;5;8;1;-1;0;3;0
30;57;9;1;1;0;839;0;1;2;5;8;1;-1;0;3;0
31;49;4;1;2;0;378;1;0;2;5;8;1;-1;0;3;0
32;60;0;1;1;0;39;1;1;2;5;8;1;-1;0;3;0
33;59;1;1;1;0;0;1;0;2;5;8;1;-1;0;3;0
34;51;4;1;2;0;10635;1;0;2;5;8;1;-1;0;3;0
35;57;9;0;1;0;63;1;0;2;5;8;1;-1;0;3;0
36;25;1;1;1;0;-7;1;0;2;5;8;1;-1;0;3;0
37;53;9;1;1;0;-3;0;0;2;5;8;1;-1;0;3;0
38;36;0;0;1;0;506;1;0;2;5;8;1;-1;0;3;0
39;37;0;2;1;0;0;1;0;2;5;8;1;-1;0;3;0
40;44;7;0;1;0;2586;1;0;2;5;8;1;-1;0;3;0
41;50;4;1;1;0;49;1;0;2;5;8;2;-1;0;3;0
42;60;1;1;3;0;104;1;0;2;5;8;1;-1;0;3;0
43;54;5;1;1;0;529;1;0;2;5;8;1;-1;0;3;0
44;58;5;1;3;0;96;1;0;2;5;8;1;-1;0;3;0
45;36;0;2;0;0;-171;1;0;2;5;8;1;-1;0;3;0
46;58;6;1;2;0;-364;1;0;2;5;8;1;-1;0;3;0
47;44;9;1;1;0;0;1;0;2;5;8;2;-1;0;3;0
48;55;9;0;1;0;0;0;0;2;5;8;1;-1;0;3;0
49;29;4;2;2;0;0;1;0;2;5;8;1;-1;0;3;0
50;54;1;1;1;0;1291;1;0;2;5;8;1;-1;0;3;0
51;48;4;0;2;0;-244;1;0;2;5;8;1;-1;0;3;0
52;32;4;1;2;0;0;1;0;2;5;8;1;-1;0;3;0
53;42;0;2;1;0;-76;1;0;2;5;8;1;-1;0;3;0
54;24;9;2;1;0;-103;1;1;2;5;8;1;-1;0;3;0
55;38;2;2;2;0;243;0;1;2;5;8;1;-1;0;3;0
56;38;4;2;2;0;424;1;0;2;5;8;1;-1;0;3;0
57;47;1;1;3;0;306;1;0;2;5;8;1;-1;0;3;0
58;40;1;2;3;0;24;1;0;2;5;8;1;-1;0;3;0
59;46;7;1;0;0;179;1;0;2;5;8;1;-1;0;3;0
60;32;0;1;2;0;0;1;0;2;5;8;1;-1;0;3;0
61;53;9;0;1;0;989;1;0;2;5;8;1;-1;0;3;0
62;57;1;1;0;0;249;1;0;2;5;8;1;-1;0;3;0
63;33;7;1;1;0;790;1;0;2;5;8;1;-1;0;3;0
64;49;1;1;3;0;154;1;0;2;5;8;1;-1;0;3;0
65;51;4;1;2;0;6530;1;0;2;5;8;1;-1;0;3;0
66;60;5;1;2;0;100;0;0;2;5;8;1;-1;0;3;0
67;59;4;0;2;0;59;1;0;2;5;8;1;-1;0;3;0
68;55;9;1;1;0;1205;1;0;2;5;8;2;-1;0;3;0
69;35;1;2;1;0;12223;1;1;2;5;8;1;-1;0;3;0
70;57;1;1;1;0;5935;1;1;2;5;8;1;-1;0;3;0
71;31;7;1;1;0;25;1;1;2;5;8;1;-1;0;3;0
72;54;4;1;1;0;282;1;1;2;5;8;1;-1;0;3;0
73;55;1;1;0;0;23;1;0;2;5;8;1;-1;0;3;0
74;43;9;1;1;0;1937;1;0;2;5;8;1;-1;0;3;0
75;53;9;1;1;0;384;1;0;2;5;8;1;-1;0;3;0
76;44;1;1;1;0;582;0;1;2;5;8;1;-1;0;3;0
77;55;7;0;1;0;91;0;0;2;5;8;1;-1;0;3;0
78;49;7;0;1;0;0;1;1;2;5;8;1;-1;0;3;0
79;55;7;0;1;1;1;1;0;2;5;8;1;-1;0;3;0
80;45;0;2;1;0;206;1;0;2;5;8;1;-1;0;3;0
81;47;7;0;1;0;164;0;0;2;5;8;1;-1;0;3;0
82;42;9;2;1;0;690;1;0;2;5;8;1;-1;0;3;0
83;59;0;1;1;0;2343;1;0;2;5;8;1;-1;0;3;1
84;46;6;1;2;0;137;1;1;2;5;8;1;-1;0;3;0
85;51;1;1;0;0;173;1;0;2;5;8;2;-1;0;3;0
86;56;0;1;1;0;45;0;0;2;5;8;1;-1;0;3;1
87;41;9;1;1;0;1270;1;0;2;5;8;1;-1;0;3;1
88;46;4;0;1;0;16;1;1;2;5;8;2;-1;0;3;0
89;57;5;1;1;0;486;1;0;2;5;8;2;-1;0;3;0
90;42;4;2;1;0;50;0;0;2;5;8;1;-1;0;3;0
91;30;9;1;1;0;152;1;1;2;5;8;2;-1;0;3;0
92;60;0;1;1;0;290;1;0;2;5;8;1;-1;0;3;0
93;60;1;1;3;0;54;1;0;2;5;8;1;-1;0;3;0
94;57;2;0;1;0;-37;0;0;2;5;8;1;-1;0;3;0
95;36;4;1;2;0;101;1;1;2;5;8;1;-1;0;3;0
96;55;1;1;1;0;383;0;0;2;5;8;1;-1;0;3;0
97;60;5;1;2;0;81;1;0;2;5;8;1;-1;0;3;0
98;39;9;1;1;0;0;1;0;2;5;8;1;-1;0;3;0
99;46;4;1;2;0;229;1;0;2;5;8;1;-1;0;3;0
100;44;1;1;1;0;-674;1;0;2;5;8;1;-1;0;3;0
101;53;1;1;0;0;90;0;0;2;5;8;1;-1;0;3;0
102;52;1;1;0;0;128;1;0;2;5;8;1;-1;0;3;0
103;59;1;1;0;0;179;1;0;2;5;8;3;-1;0;3;0
104;27;9;2;2;0;0;1;0;2;5;8;1;-1;0;3;0
105;44;1;1;1;0;54;1;0;2;5;8;1;-1;0;3;0
106;47;9;1;2;0;151;1;0;2;5;8;1;-1;0;3;0
107;34;0;1;1;0;61;0;1;2;5;8;1;-1;0;3;0
108;59;5;2;1;0;30;1;0;2;5;8;1;-1;0;3;0
109;45;4;1;2;0;523;1;0;2;5;8;2;-1;0;3;0
110;29;7;0;1;0;31;1;0;2;5;8;1;-1;0;3;0
111;46;9;0;1;0;79;0;0;2;5;8;1;-1;0;3;0
112;56;6;1;0;0;-34;1;1;2;5;8;2;-1;0;3;0
113;36;1;1;0;0;448;1;0;2;5;8;1;-1;0;3;0
114;59;5;0;0;0;81;1;0;2;5;8;1;-1;0;3;0
115;44;1;1;1;0;144;1;0;2;5;8;2;-1;0;3;0
116;41;0;1;1;0;351;1;0;2;5;8;1;-1;0;3;0
117;33;4;2;2;0;-67;1;0;2;5;8;1;-1;0;3;0
118;59;4;0;2;0;262;0;0;2;5;8;1;-1;0;3;0
119;57;9;1;0;0;0;0;0;2;5;8;1;-1;0;3;0
120;56;9;0;3;0;56;1;0;2;5;8;1;-1;0;3;0
121;51;1;1;1;0;26;1;0;2;5;8;1;-1;0;3;0
122;34;0;1;3;0;3;1;0;2;5;8;3;-1;0;3;0
123;43;7;1;1;0;41;1;1;2;5;8;2;-1;0;3;0
124;52;9;1;2;0;7;0;1;2;5;8;1;-1;0;3;0
125;33;9;2;1;0;105;1;0;2;5;8;2;-1;0;3;0
126;29;0;2;1;0;818;1;1;2;5;8;1;-1;0;3;0
127;34;7;1;1;0;-16;1;1;2;5;8;1;-1;0;3;0
128;31;1;1;1;0;0;1;0;2;5;8;1;-1;0;3;0
129;55;7;1;1;0;2476;1;0;2;5;8;1;-1;0;3;1
130;55;4;1;3;0;1185;0;0;2;5;8;1;-1;0;3;0
131;32;0;2;1;0;217;1;0;2;5;8;1;-1;0;3;0
132;38;9;2;1;0;1685;1;0;2;5;8;1;-1;0;3;0
133;55;0;2;1;0;802;1;1;2;5;8;2;-1;0;3;0
134;28;10;2;2;0;0;1;0;2;5;8;2;-1;0;3;0
135;23;1;1;1;0;94;1;0;2;5;8;1;-1;0;3;0
136;32;9;2;1;0;0;1;0;2;5;8;1;-1;0;3;0
137;43;7;2;3;0;0;0;0;2;5;8;1;-1;0;3;0
138;32;1;1;1;0;517;1;0;2;5;8;1;-1;0;3;0
139;46;1;1;1;0;265;1;0;2;5;8;1;-1;0;3;0
140;53;3;0;0;0;947;1;0;2;5;8;1;-1;0;3;0
141;34;6;2;1;0;3;1;0;2;5;8;1;-1;0;3;0
142;57;10;1;2;0;42;0;0;2;5;8;1;-1;0;3;0
143;37;1;1;1;0;37;1;0;2;5;8;1;-1;0;3;0
144;59;1;1;1;0;57;1;0;2;5;8;1;-1;0;3;0
145;33;7;1;1;0;22;1;0;2;5;8;1;-1;0;3;0
146;56;1;0;0;0;8;1;0;2;5;8;2;-1;0;3;0
147;48;10;1;1;0;293;1;0;2;5;8;1;-1;0;3;0
148;43;7;1;0;0;3;1;0;2;5;8;2;-1;0;3;0
149;54;1;1;0;0;348;1;0;2;5;8;2;-1;0;3;0
150;51;1;1;3;0;-19;1;0;2;5;8;2;-1;0;3;0
151;26;8;2;1;0;0;1;0;2;5;8;2;-1;0;3;0
152;40;4;1;2;0;-4;1;0;2;5;8;1;-1;0;3;0
153;39;4;1;1;0;18;1;0;2;5;8;1;-1;0;3;0
154;50;9;1;0;0;139;0;0;2;5;8;2;-1;0;3;0
155;41;7;1;1;0;0;1;0;2;5;8;2;-1;0;3;0
156;51;1;1;3;0;1883;1;0;2;5;8;1;-1;0;3;0
157;60;5;0;1;0;216;1;0;2;5;8;1;-1;0;3;0
158;52;1;1;1;0;782;1;0;2;5;8;3;-1;0;3;0
159;48;1;1;1;0;904;1;0;2;5;8;2;-1;0;3;0
160;48;7;1;3;0;1705;1;0;2;5;8;1;-1;0;3;0
161;39;9;2;2;0;47;1;0;2;5;8;1;-1;0;3;0
162;47;7;2;1;0;176;1;0;2;5;8;2;-1;0;3;0
163;40;1;1;1;0;1225;1;0;2;5;8;5;-1;0;3;0
164;45;9;1;1;0;86;1;0;2;5;8;1;-1;0;3;0
165;26;0;2;1;0;82;1;0;2;5;8;1;-1;0;3;0
166;52;4;1;2;0;271;1;0;2;5;8;1;-1;0;3;0
167;54;9;1;1;0;1378;1;0;2;5;8;1;-1;0;3;0
168;54;0;1;2;0;184;0;0;2;5;8;2;-1;0;3;1
169;50;1;1;0;0;0;0;0;2;5;8;3;-1;0;3;0
170;35;1;1;1;0;0;1;0;2;5;8;1;-1;0;3;0
171;44;7;1;1;0;1357;1;1;2;5;8;1;-1;0;3;0
172;53;2;1;3;0;19;1;0;2;5;8;1;-1;0;3;0
173;35;5;2;0;0;434;0;0;2;5;8;1;-1;0;3;0
174;60;0;0;1;0;92;1;0;2;5;8;1;-1;0;3;0
175;53;0;0;1;0;1151;1;0;2;5;8;1;-1;0;3;0
176;48;10;1;1;0;41;1;0;2;5;8;2;-1;0;3;0
177;34;9;1;1;0;51;1;0;2;5;8;2;-1;0;3;0
178;54;7;1;1;0;214;1;0;2;5;8;2;-1;0;3;0
179;51;4;1;1;0;1161;1;0;2;5;8;1;-1;0;3;0
180;31;7;1;2;0;37;1;0;2;5;8;1;-1;0;3;0
181;35;9;0;1;0;787;1;0;2;5;8;2;-1;0;3;0
182;35;7;1;1;0;59;1;0;2;5;8;1;-1;0;3;0
183;38;9;1;1;0;253;1;0;2;5;8;1;-1;0;3;0
184;36;0;1;2;0;211;1;0;2;5;8;2;-1;0;3;0
185;58;5;1;0;0;235;1;0;2;5;8;1;-1;0;3;0
186;40;7;0;3;0;4384;1;0;2;5;8;1;-1;0;3;0
187;54;4;1;1;0;4080;0;0;2;5;8;1;-1;0;3;0
188;34;1;2;1;0;53;1;1;2;5;8;1;-1;0;3;0
189;31;4;2;2;0;0;1;0;2;5;8;1;-1;0;3;0
190;51;5;1;1;0;2127;1;0;2;5;8;1;-1;0;3;0
191;33;4;1;2;0;377;1;0;2;5;8;1;-1;0;3;0
192;55;4;1;2;0;73;1;0;2;5;8;2;-1;0;3;0
193;42;0;1;1;0;445;1;0;2;5;8;1;-1;0;3;0
194;34;1;1;1;0;243;1;0;2;5;8;1;-1;0;3;0
195;33;1;2;1;0;307;1;0;2;5;8;2;-1;0;3;0
196;38;7;1;1;0;155;1;0;2;5;8;1;-1;0;3;0
197;50;9;0;2;0;173;0;1;2;5;8;1;-1;0;3;0
198;43;4;1;2;0;400;1;0;2;5;8;1;-1;0;3;0
199;61;1;0;0;0;1428;1;0;2;5;8;2;-1;0;3;0
200;47;0;1;1;0;219;1;0;2;5;8;1;-1;0;3;0
201;48;6;1;2;0;7;1;0;2;5;8;1;-1;0;3;0
202;44;1;1;1;0;575;1;0;2;5;8;1;-1;0;3;0
203;35;8;2;3;0;298;1;0;2;5;8;2;-1;0;3;0
204;35;7;1;1;0;0;1;0;2;5;8;1;-1;0;3;0
205;50;7;1;1;0;5699;1;0;2;5;8;2;-1;0;3;0
206;41;4;1;2;0;176;1;1;2;5;8;1;-1;0;3;0
207;41;4;1;2;0;517;1;0;2;5;8;1;-1;0;3;0
208;39;7;2;3;0;257;1;0;2;5;8;1;-1;0;3;0
209;42;5;1;1;0;56;1;0;2;5;8;1;-1;0;3;0
210;38;1;1;1;0;-390;1;0;2;5;8;1;-1;0;3;0
211;53;5;1;1;0;330;1;0;2;5;8;2;-1;0;3;0
212;59;3;0;0;0;195;0;0;2;5;8;2;-1;0;3;0
213;36;7;1;1;0;301;1;0;2;5;8;1;-1;0;3;0
214;54;1;1;0;0;-41;1;0;2;5;8;1;-1;0;3;0
215;40;9;1;2;0;483;1;0;2;5;8;1;-1;0;3;0
216;47;11;1;3;0;28;0;0;2;5;8;2;-1;0;3;0
217;53;10;1;3;0;13;0;0;2;5;8;3;-1;0;3;0
218;46;3;1;0;0;965;0;0;2;5;8;1;-1;0;3;0
219;39;4;1;2;0;378;1;1;2;5;8;2;-1;0;3;0
220;40;10;1;1;0;219;1;0;2;5;8;1;-1;0;3;0
221;28;1;1;0;0;324;1;0;2;5;8;1;-1;0;3;0
222;35;2;0;1;0;-69;1;0;2;5;8;1;-1;0;3;0
223;55;5;1;1;0;0;0;1;2;5;8;1;-1;0;3;0
224;43;9;0;3;0;205;1;0;2;5;8;1;-1;0;3;0
225;48;1;1;0;0;278;1;0;2;5;8;2;-1;0;3;0
226;58;4;1;3;0;1065;1;0;2;5;8;3;-1;0;3;0
227;33;4;2;2;0;34;1;0;2;5;8;1;-1;0;3;0
228;36;1;1;3;0;1033;0;0;2;5;8;2;-1;0;3;0
229;53;7;0;1;0;1467;1;0;2;5;8;1;-1;0;3;0
230;47;1;1;0;0;-12;1;0;2;5;8;1;-1;0;3;0
231;31;7;1;1;0;388;1;0;2;5;8;2;-1;0;3;0
232;57;2;1;1;0;294;1;0;2;5;8;2;-1;0;3;0
233;53;1;1;3;0;1827;0;0;2;5;8;1;-1;0;3;0
234;55;1;1;0;0;627;1;0;2;5;8;1;-1;0;3;0
235;45;1;1;0;0;25;1;0;2;5;8;1;-1;0;3;0
236;53;0;0;1;0;315;1;0;2;5;8;2;-1;0;3;0
237;37;1;1;0;0;0;1;0;2;5;8;1;-1;0;3;0
238;44;0;0;1;0;66;1;0;2;5;8;1;-1;0;3;0
239;49;1;0;0;0;-9;1;1;2;5;8;1;-1;0;3;0
240;46;9;1;1;0;349;1;1;2;5;8;1;-1;0;3;0
241;43;2;1;3;0;100;1;0;2;5;8;1;-1;0;3;0
242;38;0;1;1;0;0;0;0;2;5;8;1;-1;0;3;0
243;43;9;1;1;0;434;1;0;2;5;8;1;-1;0;3;0
244;49;4;1;2;0;3237;1;0;2;5;8;3;-1;0;3;0
245;42;4;1;3;0;275;0;0;2;5;8;2;-1;0;3;0
246;22;1;2;1;0;0;1;0;2;5;8;2;-1;0;3;0
